naam,provincie,regio
's-Gravenhage,Zuid-Holland,Haaglanden
's-Hertogenbosch,Noord-Brabant,Noordoost Brabant
Aa en Hunze,Drenthe,Drenthe
Aalsmeer,Noord-Holland,Amsterdam-Amstelland
Aalten,Gelderland,Achterhoek
Achtkarspelen,Friesland,Friesland
Alblasserdam,Zuid-Holland,Rotterdam Rijnmond
Albrandswaard,Zuid-Holland,Rotterdam Rijnmond
Alkmaar,Noord-Holland,Noord-Holland Noord
Almelo,Overijssel,Twente
Almere,Flevoland,Flevoland
Alphen aan den Rijn,Zuid-Holland,Holland Rijnland
Alphen-Chaam,Noord-Brabant,Hart van Brabant
Altena,Noord-Brabant,West-Brabant Oost
Ameland,Friesland,Friesland
Amersfoort,Utrecht,Eemland
Amstelveen,Noord-Holland,Amsterdam-Amstelland
Amsterdam,Noord-Holland,Amsterdam-Amstelland
Apeldoorn,Gelderland,FoodValley
Arnhem,Gelderland,Gelderland Midden
Assen,Drenthe,Drenthe
Asten,Noord-Brabant,Zuidoost Brabant
Baarle-Nassau,Noord-Brabant,Hart van Brabant
Baarn,Utrecht,Eemland
Barendrecht,Zuid-Holland,Rotterdam Rijnmond
Barneveld,Gelderland,FoodValley
Beek,Limburg,Zuid-Limburg
Beekdaelen,Limburg,Midden-Limburg
Beesel,Limburg,Noord-Limburg
Berg en Dal,Gelderland,Gelderland Zuid
Bergeijk,Noord-Brabant,Hart van Brabant
Bergen (L),Limburg,Noord-Limburg
Bergen (NH),Noord-Holland,Noord-Holland Noord
Bergen op Zoom,Noord-Brabant,West-Brabant West
Berkelland,Gelderland,Achterhoek
Bernheze,Noord-Brabant,Noordoost Brabant
Best,Noord-Brabant,Zuidoost Brabant
Beuningen,Gelderland,Gelderland Zuid
Beverwijk,Noord-Holland,IJmond
Bladel,Noord-Brabant,Hart van Brabant
Blaricum,Noord-Holland,Noord-Holland Noord
Bloemendaal,Noord-Holland,Noord-Holland Noord
Bodegraven-Reeuwijk,Zuid-Holland,Midden-Holland
Boekel,Noord-Brabant,Noordoost Brabant
Borger-Odoorn,Drenthe,Drenthe
Borne,Overijssel,Twente
Borsele,Zeeland,Zeeland
Boxtel,Noord-Brabant,Hart van Brabant
Breda,Noord-Brabant,West-Brabant Oost
Bronckhorst,Gelderland,Achterhoek
Brummen,Gelderland,Gelderland Midden
Brunssum,Limburg,Zuid-Limburg
Bunnik,Utrecht,Utrecht West
Bunschoten,Utrecht,Eemland
Buren,Gelderland,Rivierenland
Capelle aan den IJssel,Zuid-Holland,Rotterdam Rijnmond
Castricum,Noord-Holland,Noord-Holland Noord
Coevorden,Drenthe,Drenthe
Cranendonck,Noord-Brabant,Hart van Brabant
Culemborg,Gelderland,Rivierenland
Dalfsen,Overijssel,IJsselland
