naam,provincie,regio
's-Gravenhage,Zuid-Holland,Rotterdam Rijnmond
's-Hertogenbosch,Noord-Brabant,Hart van Brabant
Aa en Hunze,Drenthe,Drenthe
Aalsmeer,Noord-Holland,Amsterdam-Amstelland
Aalten,Gelderland,Gelderland Midden
Achtkarspelen,Fryslân,Utrecht West
Alblasserdam,Zuid-Holland,Rotterdam Rijnmond
Albrandswaard,Zuid-Holland,Rotterdam Rijnmond
Alkmaar,Noord-Holland,Noord-Holland Noord
Almelo,Overijssel,IJsselland
Almere,Flevoland,Flevoland
Alphen aan den Rijn,Zuid-Holland,Holland Rijnland
Alphen-Chaam,Noord-Brabant,Hart van Brabant
Altena,Noord-Brabant,Hart van Brabant
Ameland,Fryslân,Utrecht West
Amersfoort,Utrecht,Eemland
Amstelveen,Noord-Holland,Amsterdam-Amstelland
Amsterdam,Noord-Holland,Amsterdam-Amstelland
Apeldoorn,Gelderland,FoodValley
Arnhem,Gelderland,Gelderland Midden
Assen,Drenthe,Drenthe
Asten,Noord-Brabant,Hart van Brabant
Baarle-Nassau,Noord-Brabant,Hart van Brabant
Baarn,Utrecht,Eemland
Barendrecht,Zuid-Holland,Rotterdam Rijnmond
Barneveld,Gelderland,FoodValley
Beek,Limburg,Midden-Limburg
Beekdaelen,Limburg,Midden-Limburg
Beesel,Limburg,Midden-Limburg
Berg en Dal,Gelderland,Gelderland Midden
Bergeijk,Noord-Brabant,Hart van Brabant
Bergen (L),Limburg,Midden-Limburg
Bergen (NH),Noord-Holland,Noord-Holland Noord
Bergen op Zoom,Noord-Brabant,Hart van Brabant
Berkelland,Gelderland,Gelderland Midden
Bernheze,Noord-Brabant,Hart van Brabant
Best,Noord-Brabant,Hart van Brabant
Beuningen,Gelderland,Gelderland Midden
Beverwijk,Noord-Holland,IJmond
Bladel,Noord-Brabant,Hart van Brabant
Blaricum,Noord-Holland,Noord-Holland Noord
Bloemendaal,Noord-Holland,Noord-Holland Noord
Bodegraven-Reeuwijk,Zuid-Holland,Midden-Holland
Boekel,Noord-Brabant,Hart van Brabant
Borger-Odoorn,Drenthe,Drenthe
Borne,Overijssel,IJsselland
Borsele,Zeeland,Zeeland
Boxtel,Noord-Brabant,Hart van Brabant
Breda,Noord-Brabant,West-Brabant West
Bronckhorst,Gelderland,Gelderland Midden
Brummen,Gelderland,Gelderland Midden
Brunssum,Limburg,Midden-Limburg
Bunnik,Utrecht,Utrecht West
Bunschoten,Utrecht,Eemland
Buren,Gelderland,Gelderland Midden
